Wyszktałcenie:,średnie:,Wyższe:,W trakcie:,Nieukończone:,Podstawowe:
wykształcenie,szkoła średnia,university,present,1 rok,Szkoła Podstawowa
education,szkoły średniej,wydział,trakcie,2 rok,Gimnazjum
edukacja,matura,studia,2023,pierwszy rok,podstawowe
,egzamin maturlany,pwsz,2024,drugi rok,
,dyplom maturalny,stacjonarne,2025,przerwane,
,LO,niestacjonarne,,Nieukończone,
,Liceum Ogólnokształcące,podyplomowe,,obecnie,
,Liceum,awf,,nadal,
,średnie,,,Od,
,technikum,,,,
,szkoła zawodowa,,,,
,policealne,,,,
,studium ,,,,
,studium zawodowe,,,,
,zse,,,,
,zs,,,,
,zsme,,,,
,zespół szkół zawodowych,,,,
,zsz,,,,
,maturalny,,,,
