j.Angielski:,Komunikatywny podstawowy:,B1/B2,C1/zaawansowany/certyfikaty
j.angielski,poziom średni,B1/B2,biegłość zawodowa
j.ang.,poziom komunikatywny,średnio-zaawansowany,biegły
angielski,komunikatywny,średnio zaawansowany,zaawansowany
ang,poziomie komunikatywnym,średniozaawansowany,C1
,A2,B2,B2/C1
,A1,Poziom B2,C2
,podstawowy,Poziom B1,certyfikat
,,B1,FCE
,,poziom średnio zaawansowany,CAE
,,bdobry,TOEFL
,,bardzo dobry,ojczysty
,,w stopniu bardzo dobrym,egzamin Państwowy
,,b. dobry,native
,,b. dobry w mowie i pimie,natywny
,,znajomość na poziomie B2,IELTS
,,na poziomie B2,major
,,średnio,major in english
,,b1,fluent
,,b2,biegłość
,,średni,
,,b1/b2,
