Ścieżka;Nazwa pliku;Odl. <= 5km;5km > Odl <= 10km
dane_mag/p/txt;Apliakcja 30_p.txt;0;0
dane_mag/p/txt;Aplikacja 10_p.txt;0;0
dane_mag/p/txt;Aplikacja 11_p.txt;0;0
dane_mag/p/txt;Aplikacja 12_p.txt;0;3
dane_mag/p/txt;Aplikacja 13_p.txt;0;0
dane_mag/p/txt;Aplikacja 14_p.txt;0;3
dane_mag/p/txt;Aplikacja 15_p.txt;0;3
dane_mag/p/txt;Aplikacja 16_p.txt;0;0
dane_mag/p/txt;Aplikacja 17_p.txt;0;3
dane_mag/p/txt;Aplikacja 18_p.txt;0;0
dane_mag/p/txt;Aplikacja 19_p.txt;0;3
dane_mag/p/txt;Aplikacja 1_p.txt;0;0
dane_mag/p/txt;Aplikacja 20_p.txt;0;3
dane_mag/p/txt;Aplikacja 21_p.txt;0;0
dane_mag/p/txt;Aplikacja 22_p.txt;0;0
dane_mag/p/txt;Aplikacja 23_p.txt;0;0
dane_mag/p/txt;Aplikacja 24_p.txt;0;0
dane_mag/p/txt;Aplikacja 25_p.txt;0;3
dane_mag/p/txt;Aplikacja 26_p.txt;0;3
dane_mag/p/txt;Aplikacja 27_p.txt;0;3
dane_mag/p/txt;Aplikacja 28_p.txt;0;3
dane_mag/p/txt;Aplikacja 29_p.txt;0;0
dane_mag/p/txt;Aplikacja 2_p.txt;0;3
dane_mag/p/txt;Aplikacja 31_p.txt;0;0
dane_mag/p/txt;Aplikacja 32_p.txt;0;3
dane_mag/p/txt;Aplikacja 33_p.txt;0;3
dane_mag/p/txt;Aplikacja 3_p.txt;0;0
dane_mag/p/txt;Aplikacja 4_p.txt;0;0
dane_mag/p/txt;Aplikacja 5_p.txt;0;0
dane_mag/p/txt;Aplikacja 6_p.txt;0;3
dane_mag/p/txt;Aplikacja 7_p.txt;0;3
dane_mag/p/txt;Aplikacja 8_p.txt;0;3
dane_mag/p/txt;Aplikacja 9_p.txt;0;0
